,Stats/Mixed return,Stats/Suboptimal return,Stats/Expert return,Stats/Cede Control,Stats/Novel,Stats/Risky
0,8807.2841796875,5023.1220703125,8807.2216796875,1.0,0.013000000268220901,1.0
500,8796.8115234375,5403.873046875,8807.2216796875,1.0,0.020999999716877937,1.0
1000,8794.71484375,5477.61767578125,8807.2216796875,1.0,0.012000000104308128,1.0
1500,8857.7646484375,5378.701171875,8807.2216796875,1.0,0.009999999776482582,1.0
2000,8748.625,6043.36572265625,8807.2216796875,1.0,0.020999999716877937,1.0
2500,8749.79296875,6022.37158203125,8807.2216796875,1.0,0.01600000075995922,1.0
3000,8776.9697265625,6157.56396484375,8807.2216796875,1.0,0.014000000432133675,1.0
3500,8817.3193359375,5656.162109375,8807.2216796875,1.0,0.012000000104308128,1.0
4000,8802.6083984375,6047.19384765625,8807.2216796875,1.0,0.013000000268220901,1.0
4500,8699.21484375,5244.63037109375,8807.2216796875,1.0,0.010999999940395355,1.0
5000,8729.2939453125,5973.8583984375,8807.2216796875,1.0,0.01600000075995922,1.0
5500,8756.3896484375,5799.95654296875,8807.2216796875,1.0,0.014000000432133675,1.0
6000,8693.51953125,6194.69775390625,8807.2216796875,1.0,0.014000000432133675,1.0
6500,8746.1259765625,6559.8837890625,8807.2216796875,1.0,0.010999999940395355,1.0
7000,8827.9140625,6648.8623046875,8807.2216796875,1.0,0.008999999612569809,1.0
7500,8706.4013671875,6528.51611328125,8807.2216796875,1.0,0.004999999888241291,1.0
8000,8893.966796875,6131.72119140625,8807.2216796875,1.0,0.004999999888241291,1.0
8500,8823.4091796875,6532.9775390625,8807.2216796875,1.0,0.009999999776482582,1.0
9000,8826.24609375,6715.24609375,8807.2216796875,1.0,0.00800000037997961,1.0
9500,8776.0966796875,6431.2822265625,8807.2216796875,1.0,0.00800000037997961,1.0
10000,8722.2080078125,6560.4560546875,8807.2216796875,1.0,0.004999999888241291,1.0
10500,8851.6416015625,6686.79296875,8807.2216796875,0.9990000128746033,0.006000000052154064,0.9990000128746033
11000,8733.3427734375,6895.8896484375,8807.2216796875,0.9789999723434448,0.009999999776482582,0.9779999852180481
11500,7752.7275390625,6904.21484375,8807.2216796875,0.5080000162124634,0.05000000074505806,0.4860000014305115
12000,7267.2001953125,6822.03076171875,8807.2216796875,0.19499999284744263,0.06499999761581421,0.15399999916553497
12500,7218.845703125,6957.9384765625,8807.2216796875,0.14000000059604645,0.05900000035762787,0.08900000154972076
13000,7337.74169921875,7234.55322265625,8807.2216796875,0.07199999690055847,0.03400000184774399,0.04100000113248825
