,Stats/Mixed return,Stats/Suboptimal return,Stats/Expert return,Stats/Cede Control,Stats/Novel,Stats/Risky
0,8716.380859375,4990.6728515625,8709.2705078125,1.0,0.012000000104308128,1.0
500,8886.224609375,5186.73974609375,8709.2705078125,1.0,0.009999999776482582,1.0
1000,8724.060546875,5403.8173828125,8709.2705078125,1.0,0.017999999225139618,1.0
1500,8838.28515625,5492.7392578125,8709.2705078125,1.0,0.009999999776482582,1.0
2000,8764.134765625,6039.693359375,8709.2705078125,1.0,0.012000000104308128,1.0
2500,8814.142578125,6184.25244140625,8709.2705078125,1.0,0.010999999940395355,1.0
3000,8722.9443359375,6216.15478515625,8709.2705078125,1.0,0.017000000923871994,1.0
3500,8730.5703125,6244.24951171875,8709.2705078125,1.0,0.014999999664723873,1.0
4000,8765.9091796875,5795.8759765625,8709.2705078125,1.0,0.009999999776482582,1.0
4500,8779.5048828125,5341.32373046875,8709.2705078125,1.0,0.017000000923871994,1.0
5000,8752.2763671875,5583.28369140625,8709.2705078125,1.0,0.012000000104308128,1.0
5500,8754.525390625,5763.67626953125,8709.2705078125,1.0,0.017999999225139618,1.0
6000,8707.5625,6445.08251953125,8709.2705078125,1.0,0.013000000268220901,1.0
6500,8844.50390625,5931.33544921875,8709.2705078125,1.0,0.003000000026077032,1.0
7000,8862.42578125,6582.7646484375,8709.2705078125,1.0,0.013000000268220901,1.0
7500,8742.9443359375,6709.38720703125,8709.2705078125,1.0,0.00800000037997961,1.0
8000,8778.994140625,6595.3642578125,8709.2705078125,1.0,0.004000000189989805,1.0
8500,8734.318359375,5069.62109375,8709.2705078125,1.0,0.00800000037997961,1.0
9000,8720.47265625,6696.685546875,8709.2705078125,1.0,0.004000000189989805,1.0
9500,8767.0380859375,6643.08251953125,8709.2705078125,1.0,0.012000000104308128,1.0
10000,8718.169921875,6733.70556640625,8709.2705078125,0.9990000128746033,0.0020000000949949026,0.9990000128746033
10500,8752.77734375,6822.45751953125,8709.2705078125,0.9950000047683716,0.008999999612569809,0.9940000176429749
11000,8444.1220703125,6550.76708984375,8709.2705078125,0.8600000143051147,0.02199999988079071,0.8600000143051147
11500,6845.40673828125,6725.97265625,8709.2705078125,0.20399999618530273,0.06499999761581421,0.15299999713897705
12000,7355.7705078125,7222.5927734375,8709.2705078125,0.1120000034570694,0.03799999877810478,0.0820000022649765
12500,7355.869140625,7322.50830078125,8709.2705078125,0.06499999761581421,0.028999999165534973,0.039000000804662704
13000,7487.6240234375,7426.6748046875,8709.2705078125,0.03200000151991844,0.012000000104308128,0.020999999716877937
13500,7492.18701171875,7354.68212890625,8709.2705078125,0.017000000923871994,0.006000000052154064,0.010999999940395355
14000,7520.716796875,7500.9521484375,8709.2705078125,0.017999999225139618,0.013000000268220901,0.004999999888241291
14500,7727.8203125,7673.69384765625,8709.2705078125,0.014000000432133675,0.00800000037997961,0.006000000052154064
15000,7710.19775390625,7794.357421875,8709.2705078125,0.017999999225139618,0.017999999225139618,0.0
15500,7535.2021484375,7428.55322265625,8709.2705078125,0.00800000037997961,0.007000000216066837,0.0010000000474974513
16000,8072.59130859375,8051.916015625,8709.2705078125,0.01600000075995922,0.013000000268220901,0.004000000189989805
16500,8168.00830078125,8009.005859375,8709.2705078125,0.009999999776482582,0.008999999612569809,0.0020000000949949026
17000,8082.99951171875,8042.59716796875,8709.2705078125,0.009999999776482582,0.009999999776482582,0.0
17500,8232.494140625,7855.40869140625,8709.2705078125,0.02199999988079071,0.02199999988079071,0.0020000000949949026
18000,8043.30712890625,8194.2119140625,8709.2705078125,0.01899999938905239,0.01899999938905239,0.0
18500,8386.9140625,8295.2861328125,8709.2705078125,0.020999999716877937,0.020999999716877937,0.0
19000,8081.14501953125,7815.10546875,8709.2705078125,0.03099999949336052,0.03099999949336052,0.0
19500,8451.7041015625,8229.607421875,8709.2705078125,0.008999999612569809,0.008999999612569809,0.0
20000,8105.990234375,8237.63671875,8709.2705078125,0.004000000189989805,0.004000000189989805,0.0
20500,8140.3623046875,8192.37109375,8709.2705078125,0.004000000189989805,0.004000000189989805,0.0
21000,8304.3740234375,8199.0029296875,8709.2705078125,0.00800000037997961,0.00800000037997961,0.0
21500,8118.443359375,8252.08203125,8709.2705078125,0.010999999940395355,0.010999999940395355,0.0
22000,8293.49609375,8300.0791015625,8709.2705078125,0.013000000268220901,0.013000000268220901,0.0
22500,8317.369140625,8196.8544921875,8709.2705078125,0.01600000075995922,0.01600000075995922,0.0
23000,8109.3974609375,8182.05859375,8709.2705078125,0.010999999940395355,0.010999999940395355,0.0
23500,8242.6015625,8034.23095703125,8709.2705078125,0.007000000216066837,0.007000000216066837,0.0
24000,8237.7705078125,8166.59765625,8709.2705078125,0.024000000208616257,0.024000000208616257,0.0
24500,8264.4404296875,8435.9462890625,8709.2705078125,0.02500000037252903,0.02500000037252903,0.0
25000,8444.9521484375,8095.3544921875,8709.2705078125,0.003000000026077032,0.003000000026077032,0.0
25500,8436.572265625,8324.5869140625,8709.2705078125,0.006000000052154064,0.006000000052154064,0.0
26000,8048.33154296875,8029.96630859375,8709.2705078125,0.00800000037997961,0.00800000037997961,0.0
26500,8263.578125,8187.04248046875,8709.2705078125,0.003000000026077032,0.003000000026077032,0.0
27000,8541.0576171875,8529.1572265625,8709.2705078125,0.007000000216066837,0.007000000216066837,0.0
27500,8041.83447265625,7967.83056640625,8709.2705078125,0.01899999938905239,0.01899999938905239,0.0
28000,8285.912109375,8410.3984375,8709.2705078125,0.010999999940395355,0.010999999940395355,0.0
28500,8257.845703125,8278.578125,8709.2705078125,0.0010000000474974513,0.0010000000474974513,0.0
29000,8462.7392578125,8367.6845703125,8709.2705078125,0.007000000216066837,0.007000000216066837,0.0
29500,8515.75390625,8612.796875,8709.2705078125,0.019999999552965164,0.019999999552965164,0.0
30000,8704.62890625,8401.03515625,8709.2705078125,0.007000000216066837,0.007000000216066837,0.0
30500,8599.5029296875,8580.7568359375,8709.2705078125,0.004000000189989805,0.004000000189989805,0.0
31000,8064.55029296875,8101.2666015625,8709.2705078125,0.004000000189989805,0.004000000189989805,0.0
31500,8713.068359375,8537.4716796875,8709.2705078125,0.017999999225139618,0.017999999225139618,0.0
32000,8656.48046875,8571.2021484375,8709.2705078125,0.003000000026077032,0.003000000026077032,0.0
32500,8517.490234375,8472.845703125,8709.2705078125,0.003000000026077032,0.003000000026077032,0.0
33000,8748.65625,8486.802734375,8709.2705078125,0.003000000026077032,0.003000000026077032,0.0
33500,8384.08984375,8460.0908203125,8709.2705078125,0.006000000052154064,0.006000000052154064,0.0
34000,8617.552734375,8568.033203125,8709.2705078125,0.003000000026077032,0.003000000026077032,0.0
34500,8612.30859375,8786.822265625,8709.2705078125,0.004999999888241291,0.004999999888241291,0.0
35000,8640.1982421875,8692.126953125,8709.2705078125,0.004999999888241291,0.004999999888241291,0.0
35500,7668.486328125,7640.8818359375,8709.2705078125,0.01899999938905239,0.01899999938905239,0.0
36000,8713.2373046875,8489.919921875,8709.2705078125,0.0020000000949949026,0.0020000000949949026,0.0
36500,8745.830078125,8496.376953125,8709.2705078125,0.017999999225139618,0.017999999225139618,0.0
37000,8548.60546875,8610.1044921875,8709.2705078125,0.0020000000949949026,0.0020000000949949026,0.0
37500,8700.6376953125,8471.9541015625,8709.2705078125,0.00800000037997961,0.00800000037997961,0.0
38000,8273.0693359375,8344.67578125,8709.2705078125,0.010999999940395355,0.010999999940395355,0.0
38500,7788.44873046875,7939.29296875,8709.2705078125,0.010999999940395355,0.010999999940395355,0.0
39000,8630.2607421875,8615.201171875,8709.2705078125,0.0020000000949949026,0.0020000000949949026,0.0
39500,9052.013671875,8850.0732421875,8709.2705078125,0.004999999888241291,0.004999999888241291,0.0
40000,8628.8134765625,8743.9140625,8709.2705078125,0.010999999940395355,0.010999999940395355,0.0
40500,7758.13232421875,7678.86767578125,8709.2705078125,0.04800000041723251,0.04800000041723251,0.0
41000,8875.3544921875,8642.8212890625,8709.2705078125,0.008999999612569809,0.008999999612569809,0.0
41500,8737.798828125,8775.59765625,8709.2705078125,0.0010000000474974513,0.0010000000474974513,0.0
42000,8647.5849609375,8762.759765625,8709.2705078125,0.0010000000474974513,0.0010000000474974513,0.0
42500,8904.197265625,8762.0029296875,8709.2705078125,0.008999999612569809,0.008999999612569809,0.0
43000,8443.46484375,8583.55078125,8709.2705078125,0.012000000104308128,0.012000000104308128,0.0
43500,8641.1650390625,8733.740234375,8709.2705078125,0.0020000000949949026,0.0020000000949949026,0.0
44000,8591.724609375,8712.6962890625,8709.2705078125,0.003000000026077032,0.003000000026077032,0.0
44500,8559.44140625,8583.1494140625,8709.2705078125,0.003000000026077032,0.003000000026077032,0.0
