,Stats/Mixed return,Stats/Suboptimal return,Stats/Expert return,Stats/Cede Control,Stats/Novel,Stats/Risky
0,8812.849609375,5208.32666015625,8784.2841796875,1.0,0.00800000037997961,1.0
500,8875.9072265625,5206.64013671875,8784.2841796875,1.0,0.010999999940395355,1.0
1000,8768.810546875,5311.46337890625,8784.2841796875,1.0,0.017000000923871994,1.0
1500,8674.9716796875,5493.04296875,8784.2841796875,1.0,0.014999999664723873,1.0
2000,8858.6181640625,5747.51123046875,8784.2841796875,1.0,0.007000000216066837,1.0
2500,8901.46875,6084.203125,8784.2841796875,1.0,0.008999999612569809,1.0
3000,8764.923828125,6247.4228515625,8784.2841796875,1.0,0.017999999225139618,1.0
3500,8688.8857421875,6083.748046875,8784.2841796875,1.0,0.013000000268220901,1.0
4000,8804.408203125,5810.486328125,8784.2841796875,1.0,0.008999999612569809,1.0
4500,8904.7568359375,5725.58349609375,8784.2841796875,1.0,0.004999999888241291,1.0
5000,8715.509765625,6184.92431640625,8784.2841796875,1.0,0.00800000037997961,1.0
5500,8796.81640625,6377.765625,8784.2841796875,1.0,0.007000000216066837,1.0
6000,8811.8740234375,6091.3466796875,8784.2841796875,1.0,0.004000000189989805,1.0
6500,8858.8779296875,6408.83154296875,8784.2841796875,1.0,0.006000000052154064,1.0
7000,8705.6064453125,6385.837890625,8784.2841796875,1.0,0.014000000432133675,1.0
7500,8814.2392578125,6854.08837890625,8784.2841796875,1.0,0.006000000052154064,1.0
8000,8824.76953125,6873.42431640625,8784.2841796875,1.0,0.006000000052154064,1.0
8500,8746.419921875,6949.048828125,8784.2841796875,1.0,0.008999999612569809,1.0
9000,8687.6669921875,7020.443359375,8784.2841796875,1.0,0.004999999888241291,1.0
9500,8859.0458984375,6991.84326171875,8784.2841796875,1.0,0.009999999776482582,1.0
10000,8767.314453125,7198.9609375,8784.2841796875,1.0,0.004999999888241291,1.0
10500,8822.30078125,6924.76513671875,8784.2841796875,1.0,0.0020000000949949026,0.9980000257492065
11000,8752.861328125,7130.1513671875,8784.2841796875,1.0,0.004000000189989805,0.9319999814033508
11500,8722.8671875,6980.40478515625,8784.2841796875,1.0,0.008999999612569809,0.6019999980926514
12000,8780.4873046875,6963.4697265625,8784.2841796875,1.0,0.003000000026077032,0.1340000033378601
12500,8827.93359375,7024.99658203125,8784.2841796875,1.0,0.00800000037997961,0.03799999877810478
13000,8756.5322265625,6857.26904296875,8784.2841796875,1.0,0.007000000216066837,0.013000000268220901
13500,8785.0703125,7106.9375,8784.2841796875,1.0,0.0020000000949949026,0.004000000189989805
14000,8810.2958984375,6912.099609375,8784.2841796875,1.0,0.00800000037997961,0.0020000000949949026
14500,8769.4208984375,7160.501953125,8784.2841796875,1.0,0.009999999776482582,0.0
15000,8741.2001953125,7132.2158203125,8784.2841796875,1.0,0.008999999612569809,0.0
15500,8747.796875,6852.9697265625,8784.2841796875,1.0,0.0,0.0
16000,8675.1123046875,6477.68359375,8784.2841796875,1.0,0.003000000026077032,0.0
16500,8804.412109375,7062.74560546875,8784.2841796875,1.0,0.004000000189989805,0.0
17000,8814.1923828125,6743.65185546875,8784.2841796875,1.0,0.007000000216066837,0.0
17500,8739.361328125,6878.22802734375,8784.2841796875,1.0,0.00800000037997961,0.0
18000,8765.0546875,7072.08740234375,8784.2841796875,1.0,0.004000000189989805,0.0
18500,8839.52734375,7057.95947265625,8784.2841796875,1.0,0.0020000000949949026,0.0
19000,8778.3369140625,6994.77685546875,8784.2841796875,1.0,0.003000000026077032,0.0
19500,8766.416015625,7034.2666015625,8784.2841796875,1.0,0.00800000037997961,0.0
20000,8709.3759765625,6952.80078125,8784.2841796875,1.0,0.0020000000949949026,0.0
20500,8750.9501953125,7108.2431640625,8784.2841796875,1.0,0.004000000189989805,0.0
21000,8798.6474609375,6634.63232421875,8784.2841796875,1.0,0.003000000026077032,0.0
21500,8784.5732421875,6867.06787109375,8784.2841796875,1.0,0.007000000216066837,0.0
22000,8770.3623046875,7098.61376953125,8784.2841796875,1.0,0.004999999888241291,0.0
22500,8810.548828125,6955.29541015625,8784.2841796875,1.0,0.0020000000949949026,0.0
23000,8856.322265625,6848.6904296875,8784.2841796875,1.0,0.006000000052154064,0.0
23500,8895.16015625,7021.0107421875,8784.2841796875,1.0,0.0,0.0
24000,8719.56640625,7026.232421875,8784.2841796875,1.0,0.004999999888241291,0.0
24500,8728.9619140625,7003.52099609375,8784.2841796875,1.0,0.004000000189989805,0.0
25000,8703.849609375,7042.68896484375,8784.2841796875,1.0,0.0010000000474974513,0.0
25500,8762.67578125,7020.1865234375,8784.2841796875,1.0,0.0,0.0
26000,8662.4052734375,7086.65869140625,8784.2841796875,1.0,0.003000000026077032,0.0
26500,8787.45703125,6983.76318359375,8784.2841796875,1.0,0.004000000189989805,0.0
27000,8818.28515625,7112.8154296875,8784.2841796875,1.0,0.0,0.0
27500,8784.5263671875,6929.22265625,8784.2841796875,1.0,0.003000000026077032,0.0
28000,8653.712890625,6992.69287109375,8784.2841796875,1.0,0.0020000000949949026,0.0
28500,8894.8515625,6906.73046875,8784.2841796875,1.0,0.003000000026077032,0.0
29000,8802.3916015625,7043.3603515625,8784.2841796875,1.0,0.004000000189989805,0.0
29500,8817.4306640625,6998.51611328125,8784.2841796875,1.0,0.0020000000949949026,0.0
30000,8838.1181640625,7036.6474609375,8784.2841796875,1.0,0.0020000000949949026,0.0
30500,8802.123046875,7064.98779296875,8784.2841796875,1.0,0.0020000000949949026,0.0
31000,8816.9462890625,6936.17333984375,8784.2841796875,1.0,0.003000000026077032,0.0
31500,8693.142578125,7003.00048828125,8784.2841796875,1.0,0.0020000000949949026,0.0
32000,8762.1279296875,6858.59326171875,8784.2841796875,1.0,0.0010000000474974513,0.0
32500,8793.740234375,7078.89208984375,8784.2841796875,1.0,0.0010000000474974513,0.0
33000,8748.9931640625,6965.37744140625,8784.2841796875,1.0,0.004000000189989805,0.0
33500,8732.7705078125,7096.00927734375,8784.2841796875,1.0,0.0010000000474974513,0.0
34000,8727.021484375,6947.54931640625,8784.2841796875,1.0,0.0020000000949949026,0.0
34500,8764.904296875,6831.60302734375,8784.2841796875,1.0,0.003000000026077032,0.0
35000,8805.599609375,6791.82470703125,8784.2841796875,1.0,0.0010000000474974513,0.0
35500,8759.294921875,6701.41162109375,8784.2841796875,1.0,0.0010000000474974513,0.0
36000,8829.2255859375,7117.203125,8784.2841796875,1.0,0.0020000000949949026,0.0
36500,8705.3955078125,6870.85791015625,8784.2841796875,1.0,0.0020000000949949026,0.0
37000,8741.5888671875,6879.24267578125,8784.2841796875,1.0,0.0,0.0
37500,8773.9482421875,6965.53271484375,8784.2841796875,1.0,0.0020000000949949026,0.0
38000,8775.443359375,6806.04833984375,8784.2841796875,1.0,0.0010000000474974513,0.0
38500,8704.7412109375,6746.84716796875,8784.2841796875,1.0,0.0020000000949949026,0.0
39000,8916.1845703125,6867.3271484375,8784.2841796875,1.0,0.003000000026077032,0.0
39500,8887.33203125,6653.771484375,8784.2841796875,1.0,0.0010000000474974513,0.0
40000,8803.8115234375,6623.5224609375,8784.2841796875,1.0,0.0,0.0
40500,8858.521484375,6868.263671875,8784.2841796875,1.0,0.0020000000949949026,0.0
41000,8731.001953125,6656.65576171875,8784.2841796875,1.0,0.004999999888241291,0.0
41500,8845.990234375,6474.96923828125,8784.2841796875,1.0,0.0020000000949949026,0.0
42000,8787.30859375,6776.634765625,8784.2841796875,1.0,0.003000000026077032,0.0
42500,8783.6669921875,6585.61328125,8784.2841796875,1.0,0.0010000000474974513,0.0
43000,8734.130859375,6766.52685546875,8784.2841796875,1.0,0.0,0.0
43500,8721.0986328125,2000.2110595703125,8784.2841796875,1.0,0.0,0.0
44000,8771.548828125,6679.7919921875,8784.2841796875,1.0,0.003000000026077032,0.0
44500,8775.458984375,240.1736602783203,8784.2841796875,1.0,0.0010000000474974513,0.0
45000,8829.0546875,6491.20751953125,8784.2841796875,1.0,0.0010000000474974513,0.0
45500,8843.4873046875,6835.42333984375,8784.2841796875,1.0,0.0010000000474974513,0.0
46000,8805.70703125,6910.759765625,8784.2841796875,1.0,0.0010000000474974513,0.0
46500,8781.8232421875,6629.638671875,8784.2841796875,1.0,0.0020000000949949026,0.0
47000,8739.6376953125,6681.89599609375,8784.2841796875,1.0,0.0010000000474974513,0.0
47500,8890.669921875,6254.23486328125,8784.2841796875,1.0,0.0010000000474974513,0.0
48000,8754.7509765625,6661.701171875,8784.2841796875,1.0,0.003000000026077032,0.0
48500,8788.3974609375,6724.7880859375,8784.2841796875,1.0,0.0,0.0
49000,8741.55078125,6836.54833984375,8784.2841796875,1.0,0.0,0.0
49500,8874.7421875,6750.27880859375,8784.2841796875,1.0,0.003000000026077032,0.0
50000,8739.8359375,6698.4384765625,8784.2841796875,1.0,0.003000000026077032,0.0
50500,8811.599609375,6998.52392578125,8784.2841796875,1.0,0.0010000000474974513,0.0
51000,8726.4560546875,6973.1611328125,8784.2841796875,1.0,0.0,0.0
51500,8763.6953125,6713.8056640625,8784.2841796875,1.0,0.0010000000474974513,0.0
52000,8823.9814453125,6819.57861328125,8784.2841796875,1.0,0.0,0.0
52500,8789.8798828125,6753.0146484375,8784.2841796875,1.0,0.0010000000474974513,0.0
53000,8643.58203125,6831.33984375,8784.2841796875,1.0,0.006000000052154064,0.0
53500,8618.2412109375,6592.1435546875,8784.2841796875,1.0,0.0010000000474974513,0.0
54000,8785.2353515625,7058.59423828125,8784.2841796875,1.0,0.004000000189989805,0.0
54500,8737.56640625,6829.96923828125,8784.2841796875,1.0,0.0020000000949949026,0.0
55000,8730.3193359375,6780.96044921875,8784.2841796875,1.0,0.004000000189989805,0.0
55500,8809.7626953125,6742.7568359375,8784.2841796875,1.0,0.003000000026077032,0.0
56000,8805.4794921875,6714.8486328125,8784.2841796875,1.0,0.0010000000474974513,0.0
56500,8705.4013671875,6860.900390625,8784.2841796875,1.0,0.0010000000474974513,0.0
57000,8787.6240234375,6840.73681640625,8784.2841796875,1.0,0.0010000000474974513,0.0
57500,8769.5087890625,6435.1513671875,8784.2841796875,1.0,0.0020000000949949026,0.0
58000,8672.44921875,6891.345703125,8784.2841796875,1.0,0.0,0.0
58500,8791.9033203125,6747.2890625,8784.2841796875,1.0,0.004000000189989805,0.0
59000,8846.4111328125,6930.99658203125,8784.2841796875,1.0,0.0020000000949949026,0.0
59500,8744.5185546875,6780.6162109375,8784.2841796875,1.0,0.0010000000474974513,0.0
60000,8798.5107421875,6723.3486328125,8784.2841796875,1.0,0.0010000000474974513,0.0
60500,8681.515625,6583.39794921875,8784.2841796875,1.0,0.0020000000949949026,0.0
61000,8805.623046875,6639.439453125,8784.2841796875,1.0,0.0020000000949949026,0.0
61500,8790.1474609375,1042.276611328125,8784.2841796875,1.0,0.0,0.0
62000,8812.513671875,6558.3935546875,8784.2841796875,1.0,0.004000000189989805,0.0
62500,8790.26953125,6500.7978515625,8784.2841796875,1.0,0.0020000000949949026,0.0
63000,8682.376953125,2444.92578125,8784.2841796875,1.0,0.0010000000474974513,0.0
63500,8825.1396484375,6858.95361328125,8784.2841796875,1.0,0.0010000000474974513,0.0
64000,8804.69921875,6547.6064453125,8784.2841796875,1.0,0.0,0.0
64500,8780.0693359375,6734.26611328125,8784.2841796875,1.0,0.0,0.0
65000,8749.29296875,6626.35595703125,8784.2841796875,1.0,0.0020000000949949026,0.0
65500,8761.91015625,6613.7265625,8784.2841796875,1.0,0.0020000000949949026,0.0
66000,8702.66015625,6449.0576171875,8784.2841796875,1.0,0.0010000000474974513,0.0
66500,8808.5205078125,6501.9736328125,8784.2841796875,1.0,0.0,0.0
67000,8779.951171875,6261.5859375,8784.2841796875,1.0,0.0020000000949949026,0.0
67500,8699.1962890625,387.82855224609375,8784.2841796875,1.0,0.0,0.0
68000,8772.73046875,6437.630859375,8784.2841796875,1.0,0.0010000000474974513,0.0
68500,8841.220703125,6178.8232421875,8784.2841796875,1.0,0.0010000000474974513,0.0
69000,8806.4423828125,6581.16650390625,8784.2841796875,1.0,0.0010000000474974513,0.0
69500,8761.2470703125,6322.5859375,8784.2841796875,1.0,0.0,0.0
70000,8763.4326171875,1369.6160888671875,8784.2841796875,1.0,0.0010000000474974513,0.0
70500,8670.26171875,6464.978515625,8784.2841796875,1.0,0.004000000189989805,0.0
