,Stats/Mixed return,Stats/Suboptimal return,Stats/Expert return,Stats/Cede Control,Stats/Novel,Stats/Risky
0,4805.61376953125,5118.6513671875,8783.76953125,0.0,0.004000000189989805,1.0
500,5336.56884765625,5214.7001953125,8783.76953125,0.0,0.0020000000949949026,1.0
1000,5327.95068359375,5228.71435546875,8783.76953125,0.0,0.0,1.0
1500,5810.1201171875,5782.0546875,8783.76953125,0.0,0.0,1.0
2000,5602.623046875,5648.556640625,8783.76953125,0.0,0.0010000000474974513,1.0
2500,6007.71484375,5923.130859375,8783.76953125,0.0,0.0,1.0
3000,6162.41015625,6063.14892578125,8783.76953125,0.0,0.0020000000949949026,1.0
3500,5821.9111328125,5766.30615234375,8783.76953125,0.0,0.0010000000474974513,1.0
4000,6249.97705078125,6173.59130859375,8783.76953125,0.0,0.007000000216066837,1.0
4500,5908.01611328125,5980.77392578125,8783.76953125,0.0,0.0,1.0
5000,6325.94921875,6241.1962890625,8783.76953125,0.0,0.003000000026077032,1.0
5500,6207.2939453125,6179.96142578125,8783.76953125,0.0,0.0020000000949949026,1.0
6000,6600.673828125,6536.72412109375,8783.76953125,0.0,0.004000000189989805,1.0
6500,6521.87158203125,6515.95068359375,8783.76953125,0.0,0.0010000000474974513,1.0
7000,6531.7060546875,6550.03515625,8783.76953125,0.0,0.0010000000474974513,1.0
7500,6266.197265625,6422.1181640625,8783.76953125,0.0,0.006000000052154064,1.0
8000,6282.40283203125,6200.2841796875,8783.76953125,0.0,0.006000000052154064,1.0
8500,6728.3125,6553.193359375,8783.76953125,0.0,0.004999999888241291,1.0
9000,6814.0556640625,6734.4794921875,8783.76953125,0.0,0.0020000000949949026,1.0
9500,6591.390625,6610.8125,8783.76953125,0.0,0.008999999612569809,1.0
10000,6675.14990234375,6699.0517578125,8783.76953125,0.0,0.004999999888241291,1.0
10500,6426.458984375,6503.3447265625,8783.76953125,0.0,0.0,1.0
11000,6176.5888671875,6236.65625,8783.76953125,0.0,0.0020000000949949026,1.0
11500,6394.13330078125,6479.1953125,8783.76953125,0.0,0.014000000432133675,1.0
12000,6759.71435546875,6746.5322265625,8783.76953125,0.0,0.003000000026077032,1.0
12500,6753.08203125,6730.1748046875,8783.76953125,0.0,0.003000000026077032,1.0
13000,6825.4921875,6733.51416015625,8783.76953125,0.0,0.0020000000949949026,1.0
13500,6955.53955078125,7043.04052734375,8783.76953125,0.0,0.0,1.0
14000,6731.11474609375,6787.66259765625,8783.76953125,0.0,0.0,1.0
14500,6951.25634765625,6956.693359375,8783.76953125,0.0,0.003000000026077032,1.0
15000,6863.3076171875,6952.861328125,8783.76953125,0.0,0.009999999776482582,1.0
15500,6785.6376953125,6884.712890625,8783.76953125,0.0,0.007000000216066837,1.0
16000,7119.60546875,7054.86865234375,8783.76953125,0.0,0.006000000052154064,1.0
16500,6545.29931640625,6613.67919921875,8783.76953125,0.0,0.0020000000949949026,1.0
17000,6636.03955078125,6684.158203125,8783.76953125,0.0,0.0,1.0
17500,7119.40087890625,7080.15966796875,8783.76953125,0.0,0.004999999888241291,1.0
18000,6987.71630859375,7057.71728515625,8783.76953125,0.0,0.0010000000474974513,1.0
18500,6682.64111328125,6621.3974609375,8783.76953125,0.0,0.0020000000949949026,1.0
19000,7082.796875,7069.42919921875,8783.76953125,0.0,0.0020000000949949026,1.0
19500,6774.04736328125,6925.36376953125,8783.76953125,0.0,0.004000000189989805,1.0
20000,7160.76123046875,7057.58447265625,8783.76953125,0.0,0.0020000000949949026,0.9980000257492065
20500,6819.12451171875,6854.00537109375,8783.76953125,0.0,0.008999999612569809,1.0
21000,6637.27978515625,6636.779296875,8783.76953125,0.0,0.00800000037997961,1.0
21500,6733.7392578125,6738.853515625,8783.76953125,0.0,0.007000000216066837,0.9990000128746033
22000,6903.345703125,6915.37939453125,8783.76953125,0.0,0.003000000026077032,0.9990000128746033
22500,7087.61767578125,7083.076171875,8783.76953125,0.0,0.013000000268220901,1.0
23000,7183.4658203125,7167.96240234375,8783.76953125,0.0,0.0020000000949949026,0.9990000128746033
23500,7128.6494140625,7247.4404296875,8783.76953125,0.0,0.0020000000949949026,0.9980000257492065
24000,6981.10107421875,6988.9970703125,8783.76953125,0.0,0.004000000189989805,0.9990000128746033
24500,6965.7138671875,6917.4482421875,8783.76953125,0.0,0.0010000000474974513,0.996999979019165
25000,7294.4814453125,7259.91748046875,8783.76953125,0.0,0.0020000000949949026,0.9980000257492065
25500,7220.18505859375,7141.3857421875,8783.76953125,0.0,0.003000000026077032,0.9940000176429749
26000,6823.8173828125,6837.3251953125,8783.76953125,0.0,0.004999999888241291,0.996999979019165
26500,6933.7919921875,6897.6337890625,8783.76953125,0.0,0.004999999888241291,0.9959999918937683
