,Stats/Mixed return,Stats/Suboptimal return,Stats/Expert return,Stats/Cede Control,Stats/Novel,Stats/Risky
0,8877.314453125,5124.39453125,8703.4912109375,1.0,0.0,0.0
500,8757.8515625,4992.1640625,8703.4912109375,1.0,0.0,0.0
1000,8785.9375,5576.75927734375,8703.4912109375,1.0,0.0,0.0
1500,8764.8310546875,5658.73193359375,8703.4912109375,1.0,0.0,0.0
2000,8651.4775390625,6071.1162109375,8703.4912109375,1.0,0.0,0.0
2500,8742.6962890625,6089.52392578125,8703.4912109375,1.0,0.0,0.0
3000,8822.6103515625,5794.8056640625,8703.4912109375,1.0,0.0,0.0
3500,8780.0830078125,6126.59375,8703.4912109375,1.0,0.0,0.0
4000,8806.3369140625,6172.3984375,8703.4912109375,1.0,0.0,0.0
4500,8842.541015625,6174.4873046875,8703.4912109375,1.0,0.0,0.0
5000,8813.9853515625,6567.92138671875,8703.4912109375,1.0,0.0,0.0
5500,8741.33984375,5955.52880859375,8703.4912109375,1.0,0.0,0.0
6000,8819.3828125,6806.9443359375,8703.4912109375,1.0,0.0,0.0
6500,8764.2001953125,6880.86181640625,8703.4912109375,1.0,0.0,0.0
7000,8797.8759765625,6361.8876953125,8703.4912109375,1.0,0.0,0.0
7500,8775.6318359375,6818.36669921875,8703.4912109375,1.0,0.0,0.0
8000,8800.361328125,6316.7998046875,8703.4912109375,1.0,0.0,0.0
8500,8760.17578125,6691.53759765625,8703.4912109375,1.0,0.0,0.0
9000,8713.4404296875,6664.98583984375,8703.4912109375,0.9990000128746033,0.0,0.0
9500,8714.1884765625,6629.33154296875,8703.4912109375,1.0,0.0,0.0
10000,8823.501953125,5991.35302734375,8703.4912109375,0.9990000128746033,0.0,0.0
10500,8722.951171875,6606.14794921875,8703.4912109375,1.0,0.0,0.0
11000,8780.37890625,6850.32568359375,8703.4912109375,1.0,0.0,0.0
11500,8816.181640625,6605.19775390625,8703.4912109375,0.9990000128746033,0.0,0.0
12000,8809.560546875,6831.79296875,8703.4912109375,1.0,0.0,0.0
12500,8794.7138671875,6665.2060546875,8703.4912109375,0.9990000128746033,0.0,0.0
13000,8776.767578125,6872.45654296875,8703.4912109375,0.9990000128746033,0.0,0.0
13500,8786.6767578125,7007.28173828125,8703.4912109375,1.0,0.0,0.0
14000,8752.763671875,6765.7998046875,8703.4912109375,1.0,0.0,0.0
14500,8726.498046875,6762.5615234375,8703.4912109375,0.9990000128746033,0.0,0.0
15000,8719.04296875,6861.83642578125,8703.4912109375,0.9980000257492065,0.0,0.0
15500,8641.9765625,6752.4892578125,8703.4912109375,1.0,0.0,0.0
16000,8738.4453125,6882.4638671875,8703.4912109375,1.0,0.0,0.0
16500,8870.9990234375,6851.134765625,8703.4912109375,0.9990000128746033,0.0,0.0
17000,8721.373046875,7108.19677734375,8703.4912109375,1.0,0.0,0.0
17500,8718.736328125,6713.95458984375,8703.4912109375,1.0,0.0,0.0
18000,8828.1953125,6855.53759765625,8703.4912109375,0.9990000128746033,0.0,0.0
18500,8736.16015625,6835.79296875,8703.4912109375,0.996999979019165,0.0,0.0
19000,8746.404296875,6934.79296875,8703.4912109375,0.9990000128746033,0.0,0.0
19500,8762.865234375,6716.20654296875,8703.4912109375,1.0,0.0,0.0
20000,8878.84375,7025.68798828125,8703.4912109375,0.9990000128746033,0.0,0.0
20500,8737.625,6848.59814453125,8703.4912109375,0.9980000257492065,0.0,0.0
21000,8728.6630859375,6909.73291015625,8703.4912109375,0.9990000128746033,0.0,0.0
21500,8852.0625,7036.89892578125,8703.4912109375,0.9990000128746033,0.0,0.0
22000,8799.4580078125,6874.021484375,8703.4912109375,0.9990000128746033,0.0,0.0
22500,8836.7734375,6833.0517578125,8703.4912109375,0.9980000257492065,0.0,0.0
23000,8701.033203125,6869.9345703125,8703.4912109375,0.9990000128746033,0.0,0.0
23500,8726.7236328125,6719.24462890625,8703.4912109375,0.9990000128746033,0.0,0.0
24000,8744.73046875,6862.3896484375,8703.4912109375,0.996999979019165,0.0,0.0
24500,8803.3583984375,6932.49072265625,8703.4912109375,0.9990000128746033,0.0,0.0
25000,8768.13671875,6866.84912109375,8703.4912109375,1.0,0.0,0.0
25500,8659.9453125,6879.337890625,8703.4912109375,0.9959999918937683,0.0,0.0
26000,8775.9462890625,6982.15673828125,8703.4912109375,0.9959999918937683,0.0,0.0
26500,8757.8779296875,6847.4775390625,8703.4912109375,0.996999979019165,0.0,0.0
27000,8843.900390625,6861.34619140625,8703.4912109375,0.9980000257492065,0.0,0.0
27500,8824.1328125,6792.04931640625,8703.4912109375,1.0,0.0,0.0
