,Stats/Mixed return,Stats/Suboptimal return,Stats/Expert return,Stats/Cede Control,Stats/Novel,Stats/Risky
0,8731.83984375,4985.7587890625,8763.7119140625,1.0,0.0,0.0
500,8851.98046875,5041.9912109375,8763.7119140625,1.0,0.0,0.0
1000,8836.8486328125,5335.40478515625,8763.7119140625,1.0,0.0,0.0
1500,8775.1259765625,5874.1572265625,8763.7119140625,1.0,0.0,0.0
2000,8829.30859375,5738.51708984375,8763.7119140625,1.0,0.0,0.0
2500,8764.5322265625,5941.19873046875,8763.7119140625,1.0,0.0,0.0
3000,8700.7294921875,6175.94873046875,8763.7119140625,1.0,0.0,0.0
3500,8783.2060546875,6234.68798828125,8763.7119140625,1.0,0.0,0.0
4000,8681.3896484375,5872.04736328125,8763.7119140625,1.0,0.0,0.0
4500,8782.826171875,6004.10791015625,8763.7119140625,1.0,0.0,0.0
5000,8716.5263671875,5856.0537109375,8763.7119140625,1.0,0.0,0.0
5500,8753.1162109375,5321.298828125,8763.7119140625,1.0,0.0,0.0
6000,8787.1640625,6203.76416015625,8763.7119140625,1.0,0.0,0.0
6500,8730.279296875,6767.74072265625,8763.7119140625,1.0,0.0,0.0
7000,8832.6904296875,6584.11181640625,8763.7119140625,1.0,0.0,0.0
7500,8791.8935546875,6406.275390625,8763.7119140625,1.0,0.0,0.0
8000,8720.783203125,4059.207763671875,8763.7119140625,1.0,0.0,0.0
8500,8709.525390625,6642.509765625,8763.7119140625,0.9990000128746033,0.0,0.0
9000,8731.1953125,6502.3779296875,8763.7119140625,1.0,0.0,0.0
9500,8647.5693359375,6361.98291015625,8763.7119140625,1.0,0.0,0.0
10000,8790.9150390625,6566.7587890625,8763.7119140625,1.0,0.0,0.0
10500,8789.400390625,6137.6611328125,8763.7119140625,1.0,0.0,0.0
11000,8664.0859375,6695.5625,8763.7119140625,1.0,0.0,0.0
11500,8848.39453125,6767.49609375,8763.7119140625,1.0,0.0,0.0
12000,8817.6201171875,7072.04931640625,8763.7119140625,1.0,0.0,0.0
12500,8753.0400390625,6859.53173828125,8763.7119140625,1.0,0.0,0.0
13000,8790.73046875,6893.42333984375,8763.7119140625,1.0,0.0,0.0
13500,8651.451171875,6727.8671875,8763.7119140625,1.0,0.0,0.0
14000,8680.7919921875,6891.4873046875,8763.7119140625,1.0,0.0,0.0
14500,8683.49609375,7008.87109375,8763.7119140625,1.0,0.0,0.0
15000,8752.404296875,6992.23388671875,8763.7119140625,0.9990000128746033,0.0,0.0
15500,8724.0791015625,7024.759765625,8763.7119140625,1.0,0.0,0.0
16000,8865.099609375,7062.3837890625,8763.7119140625,0.9990000128746033,0.0,0.0
16500,8756.146484375,7156.81103515625,8763.7119140625,0.9980000257492065,0.0,0.0
17000,8809.9833984375,7137.64111328125,8763.7119140625,1.0,0.0,0.0
17500,8793.6669921875,7142.69580078125,8763.7119140625,1.0,0.0,0.0
18000,8770.2822265625,6875.10595703125,8763.7119140625,0.9990000128746033,0.0,0.0
18500,8748.79296875,7220.7978515625,8763.7119140625,0.9990000128746033,0.0,0.0
