,Stats/Percentile 10,Stats/Base Percentile 10,Stats/Expert Percentile 10,Stats/Cede Control,Stats/Novel,Stats/Risky
0,-25.616701126098633,-37.59939956665039,-25.86574363708496,0.8151731491088867,0.17990760505199432,0.7715612649917603
500,-28.523820877075195,-36.583656311035156,-25.86574363708496,0.5331847071647644,0.1758967489004135,0.5152102708816528
1000,-25.861682891845703,-34.99546432495117,-25.86574363708496,0.42595919966697693,0.18769612908363342,0.39884912967681885
1500,-25.602096557617188,-29.344078063964844,-25.86574363708496,0.4124831259250641,0.1840565949678421,0.39326566457748413
2000,-25.593719482421875,-31.199024200439453,-25.86574363708496,0.38200879096984863,0.18682120740413666,0.33328577876091003
2500,-25.680927276611328,-1468.2685546875,-25.86574363708496,0.44247063994407654,0.16499806940555573,0.426986426115036
3000,-25.907838821411133,-1542.51171875,-25.86574363708496,0.4013889729976654,0.16858498752117157,0.3637993633747101
3500,-26.112831115722656,-1554.0986328125,-25.86574363708496,0.3897058367729187,0.15252654254436493,0.344237744808197
4000,-28.476560592651367,-37.86526107788086,-25.86574363708496,0.2630462646484375,0.13629916310310364,0.15686941146850586
4500,-25.942367553710938,-38.508201599121094,-25.86574363708496,0.2764339745044708,0.15429584681987762,0.1458864063024521
5000,-26.1704044342041,-40.77838897705078,-25.86574363708496,0.239033505320549,0.1253385841846466,0.13239993155002594
5500,-25.746740341186523,-27.55826187133789,-25.86574363708496,0.2777853012084961,0.12874813377857208,0.17324340343475342
6000,-25.659204483032227,-31.957210540771484,-25.86574363708496,0.26349520683288574,0.1306716352701187,0.1613403558731079
6500,-25.48632049560547,-24.924869537353516,-25.86574363708496,0.33434391021728516,0.11803482472896576,0.25367414951324463
7000,-25.613950729370117,-25.414777755737305,-25.86574363708496,0.19960105419158936,0.12038280814886093,0.10026060789823532
7500,-25.278200149536133,-25.226497650146484,-25.86574363708496,0.18663591146469116,0.11408957839012146,0.0737975463271141
8000,-25.304861068725586,-25.441070556640625,-25.86574363708496,0.20342059433460236,0.1029725894331932,0.10044800490140915
8500,-25.4981632232666,-25.41041374206543,-25.86574363708496,0.1288674920797348,0.1277311146259308,0.0011363636003807187
9000,-25.557519912719727,-26.484981536865234,-25.86574363708496,0.1281275898218155,0.08386757224798203,0.044260017573833466
9500,-25.346384048461914,-27.86301040649414,-25.86574363708496,0.24336948990821838,0.09949401766061783,0.14387546479701996
10000,-25.185529708862305,-25.61124038696289,-25.86574363708496,0.12831325829029083,0.08225015550851822,0.04606309533119202
10500,-24.879179000854492,-25.693510055541992,-25.86574363708496,0.15458518266677856,0.09332221001386642,0.06126298010349274
11000,-25.25298500061035,-24.863588333129883,-25.86574363708496,0.12934571504592896,0.07139628380537033,0.05794942006468773
11500,-26.601377487182617,-26.823347091674805,-25.86574363708496,0.14062273502349854,0.0764373391866684,0.06520895659923553
12000,-25.23007583618164,-25.58920669555664,-25.86574363708496,0.12432841956615448,0.06994543969631195,0.05438298359513283
12500,-30.90096664428711,-33.80638885498047,-25.86574363708496,0.16049425303936005,0.07820925116539001,0.08228499442338943
13000,-25.57735824584961,-25.421064376831055,-25.86574363708496,0.14193320274353027,0.07528791576623917,0.06664528697729111
13500,-24.940488815307617,-25.794527053833008,-25.86574363708496,0.15292218327522278,0.07338574528694153,0.07953643798828125
14000,-25.799882888793945,-25.556377410888672,-25.86574363708496,0.09309392422437668,0.08917068690061569,0.003923236392438412
14500,-25.70037269592285,-25.54376220703125,-25.86574363708496,0.12130966037511826,0.06394368410110474,0.05736597254872322
15000,-27.32588768005371,-25.598499298095703,-25.86574363708496,0.05744239687919617,0.05744239687919617,0.0
15500,-25.56525421142578,-24.91594886779785,-25.86574363708496,0.10592532902956009,0.047101423144340515,0.058823905885219574
16000,-25.38918685913086,-25.604434967041016,-25.86574363708496,0.1279359757900238,0.06580774486064911,0.062128227204084396
16500,-25.257673263549805,-25.201004028320312,-25.86574363708496,0.19290782511234283,0.04175097122788429,0.15115684270858765
17000,-25.539487838745117,-27.1690673828125,-25.86574363708496,0.09428934007883072,0.07244202494621277,0.02184731513261795
17500,-25.503164291381836,-25.472625732421875,-25.86574363708496,0.04999162256717682,0.04809163510799408,0.001899987575598061
18000,-25.080413818359375,-24.99675750732422,-25.86574363708496,0.09364490956068039,0.056471217423677444,0.037173688411712646
18500,-30.414487838745117,-27.919294357299805,-25.86574363708496,0.06627655029296875,0.06627655029296875,0.0
19000,-25.45221519470215,-25.364307403564453,-25.86574363708496,0.0426621288061142,0.03536108508706093,0.007301046513020992
19500,-25.577377319335938,-25.72736930847168,-25.86574363708496,0.09463893622159958,0.056638624519109726,0.03800031542778015
20000,-24.962230682373047,-24.769485473632812,-25.86574363708496,0.06069669499993324,0.057228732854127884,0.003467962611466646
20500,-25.12057113647461,-25.027774810791016,-25.86574363708496,0.054855912923812866,0.039986081421375275,0.014869830571115017
