,Stats/Percentile 10,Stats/Base Percentile 10,Stats/Expert Percentile 10,Stats/Cede Control,Stats/Novel,Stats/Risky
0,-25.707889556884766,-38.66413116455078,-25.86574363708496,0.9796521663665771,0.17928574979305267,0.8231197595596313
500,-25.70016098022461,-33.28288650512695,-25.86574363708496,0.9206879138946533,0.1859174221754074,0.5462847352027893
1000,-25.68890380859375,-33.909725189208984,-25.86574363708496,0.8833026885986328,0.1910342127084732,0.4442192018032074
1500,-25.704500198364258,-34.0659065246582,-25.86574363708496,0.8715510964393616,0.18901711702346802,0.41513630747795105
2000,-25.71074867248535,-34.37795639038086,-25.86574363708496,0.8424540758132935,0.18385443091392517,0.321846604347229
2500,-25.707664489746094,-30.437246322631836,-25.86574363708496,0.8417665958404541,0.1780054271221161,0.3487853407859802
3000,-25.602060317993164,-33.614437103271484,-25.86574363708496,0.7935927510261536,0.16488829255104065,0.2589912414550781
3500,-25.703359603881836,-1552.36083984375,-25.86574363708496,0.7997331023216248,0.14795567095279694,0.3209272623062134
4000,-25.519079208374023,-1536.938720703125,-25.86574363708496,0.7405760884284973,0.14767765998840332,0.1336265504360199
4500,-26.186227798461914,-1544.3671875,-25.86574363708496,0.7300392389297485,0.1381053775548935,0.18986406922340393
5000,-25.56207847595215,-1548.9925537109375,-25.86574363708496,0.710464358329773,0.13334029912948608,0.1439182311296463
5500,-25.572668075561523,-1544.604736328125,-25.86574363708496,0.6948970556259155,0.11557694524526596,0.11765449494123459
6000,-25.710721969604492,-1513.9755859375,-25.86574363708496,0.6407527327537537,0.11847478151321411,0.09570343792438507
6500,-26.258155822753906,-1536.25244140625,-25.86574363708496,0.6312459111213684,0.12094542384147644,0.08342529833316803
7000,-25.67441177368164,-1538.264892578125,-25.86574363708496,0.5968573689460754,0.13017083704471588,0.008270618505775928
7500,-25.53856658935547,-27.06244468688965,-25.86574363708496,0.5964326858520508,0.11132876574993134,0.010760622099041939
8000,-26.119306564331055,-27.099807739257812,-25.86574363708496,0.5986182689666748,0.1058916375041008,0.08772185444831848
8500,-25.429805755615234,-29.265380859375,-25.86574363708496,0.5653618574142456,0.11009557545185089,0.029597345739603043
9000,-25.718263626098633,-25.240116119384766,-25.86574363708496,0.5642670392990112,0.10906129330396652,0.0584145188331604
9500,-25.428800582885742,-25.71186065673828,-25.86574363708496,0.5534632205963135,0.09085528552532196,0.09634120762348175
10000,-25.58648681640625,-25.012666702270508,-25.86574363708496,0.5223503112792969,0.08126167207956314,0.01676870509982109
10500,-25.185379028320312,-25.809785842895508,-25.86574363708496,0.4725795090198517,0.08469117432832718,0.0
11000,-25.38936424255371,-25.112220764160156,-25.86574363708496,0.47776564955711365,0.08628037571907043,0.0373588502407074
11500,-31.31483268737793,-30.3558349609375,-25.86574363708496,0.4656720459461212,0.0762324333190918,0.005113270133733749
12000,-25.730653762817383,-25.506568908691406,-25.86574363708496,0.4424493610858917,0.07455582916736603,0.007937194779515266
12500,-25.40604019165039,-27.45998191833496,-25.86574363708496,0.42259901762008667,0.07397479563951492,0.0038475426845252514
13000,-25.590682983398438,-25.062908172607422,-25.86574363708496,0.43572282791137695,0.06595779955387115,0.020328829064965248
13500,-25.52528953552246,-28.350303649902344,-25.86574363708496,0.43108877539634705,0.07392309606075287,0.01015032734721899
14000,-25.82404899597168,-25.933589935302734,-25.86574363708496,0.4133910834789276,0.07812739163637161,0.015438814647495747
14500,-25.46843147277832,-34.914466857910156,-25.86574363708496,0.3767379820346832,0.06467365473508835,0.013793779537081718
15000,-25.175477981567383,-30.16331672668457,-25.86574363708496,0.3670075535774231,0.07316238433122635,0.0
15500,-25.21985626220703,-27.454299926757812,-25.86574363708496,0.37387049198150635,0.05831276625394821,0.05919232219457626
16000,-25.53615951538086,-25.10753631591797,-25.86574363708496,0.3715437948703766,0.07883356511592865,0.022753149271011353
16500,-25.357452392578125,-25.05817985534668,-25.86574363708496,0.3551226854324341,0.051715366542339325,0.03200864791870117
17000,-27.939815521240234,-29.950376510620117,-25.86574363708496,0.36407676339149475,0.05564745143055916,0.03910317271947861
17500,-25.416030883789062,-24.825742721557617,-25.86574363708496,0.31027814745903015,0.06122281402349472,0.0
18000,-25.887758255004883,-25.653976440429688,-25.86574363708496,0.4339277744293213,0.06121792644262314,0.15881633758544922
18500,-25.549684524536133,-25.288923263549805,-25.86574363708496,0.3150029480457306,0.06384886801242828,0.0008585055475123227
19000,-25.769254684448242,-25.61466407775879,-25.86574363708496,0.2977609634399414,0.05820917710661888,0.0
19500,-25.584924697875977,-25.303646087646484,-25.86574363708496,0.26720428466796875,0.05426374450325966,0.0
20000,-25.29479217529297,-25.05781364440918,-25.86574363708496,0.26291394233703613,0.05178487300872803,0.009261544793844223
20500,-25.167226791381836,-24.86602020263672,-25.86574363708496,0.27127939462661743,0.05588364973664284,0.008800631389021873
21000,-30.33036994934082,-31.983957290649414,-25.86574363708496,0.24216268956661224,0.05171312764286995,0.0
21500,-28.539958953857422,-24.940738677978516,-25.86574363708496,0.2745421230792999,0.0501101016998291,0.04206410422921181
22000,-30.86498260498047,-28.236711502075195,-25.86574363708496,0.24557043612003326,0.042930904775857925,0.0043092272244393826
22500,-25.230701446533203,-30.20009994506836,-25.86574363708496,0.23779112100601196,0.05465651676058769,0.0
23000,-25.374664306640625,-24.968812942504883,-25.86574363708496,0.23643001914024353,0.03842342272400856,0.015726691111922264
23500,-27.69309425354004,-24.72184181213379,-25.86574363708496,0.2434139847755432,0.06062793731689453,0.005077377427369356
24000,-25.503686904907227,-25.545167922973633,-25.86574363708496,0.22286586463451385,0.04699094593524933,0.015920301899313927
24500,-25.04566764831543,-24.895586013793945,-25.86574363708496,0.21564330160617828,0.04632510244846344,0.005267271306365728
25000,-25.3565673828125,-27.150094985961914,-25.86574363708496,0.1983034312725067,0.046849798411130905,0.0
25500,-27.853700637817383,-30.6931095123291,-25.86574363708496,0.19566397368907928,0.046246252954006195,0.0
26000,-25.419784545898438,-27.26091766357422,-25.86574363708496,0.20255769789218903,0.04929887875914574,0.0029797109309583902
26500,-24.926555633544922,-27.88703155517578,-25.86574363708496,0.1857231706380844,0.03799428045749664,0.0
27000,-30.436630249023438,-29.745637893676758,-25.86574363708496,0.22095026075839996,0.047519318759441376,0.03346323221921921
27500,-25.02686309814453,-24.833330154418945,-25.86574363708496,0.19561411440372467,0.03900478035211563,0.029260719195008278
28000,-25.03326416015625,-24.666122436523438,-25.86574363708496,0.18213137984275818,0.04138769954442978,0.006525962147861719
28500,-25.418031692504883,-25.64670181274414,-25.86574363708496,0.20413130521774292,0.036246947944164276,0.041078247129917145
29000,-24.9283504486084,-24.846702575683594,-25.86574363708496,0.20940335094928741,0.03414730355143547,0.04518888518214226
29500,-25.525083541870117,-25.28731346130371,-25.86574363708496,0.1992340236902237,0.043089669197797775,0.0495641753077507
30000,-25.00714683532715,-24.9249210357666,-25.86574363708496,0.17526425421237946,0.03211557865142822,0.019387850537896156
30500,-25.025854110717773,-24.94661521911621,-25.86574363708496,0.15125444531440735,0.030909506604075432,0.0
31000,-25.104637145996094,-27.010093688964844,-25.86574363708496,0.1523856818675995,0.03778998926281929,0.0
31500,-30.455198287963867,-28.57548713684082,-25.86574363708496,0.12436477094888687,0.02416481450200081,0.0
32000,-31.509794235229492,-30.239484786987305,-25.86574363708496,0.15862895548343658,0.03639814630150795,0.02696416899561882
32500,-30.399627685546875,-33.362640380859375,-25.86574363708496,0.15623196959495544,0.05224078148603439,0.0016839883755892515
33000,-30.682462692260742,-24.764883041381836,-25.86574363708496,0.11976765096187592,0.030283281579613686,0.0
33500,-31.213640213012695,-30.151844024658203,-25.86574363708496,0.14779262244701385,0.03657756745815277,0.0035063934046775103
34000,-25.030467987060547,-25.077014923095703,-25.86574363708496,0.1222899928689003,0.03566907346248627,0.00039999998989515007
34500,-24.599462509155273,-25.41217041015625,-25.86574363708496,0.11895475536584854,0.03166784346103668,0.005500028375536203
35000,-24.92858123779297,-24.484472274780273,-25.86574363708496,0.1291094869375229,0.03978878632187843,0.006832028739154339
35500,-25.06991958618164,-24.77609634399414,-25.86574363708496,0.14613620936870575,0.030350307002663612,0.04325198754668236
36000,-25.223323822021484,-25.12815284729004,-25.86574363708496,0.13224974274635315,0.026019161567091942,0.027168920263648033
36500,-25.16675567626953,-25.17000389099121,-25.86574363708496,0.11274630576372147,0.02519652433693409,0.011407465673983097
37000,-25.433631896972656,-29.7303409576416,-25.86574363708496,0.10838198661804199,0.02142464369535446,0.005684646312147379
37500,-27.506650924682617,-27.05232048034668,-25.86574363708496,0.10771206021308899,0.02823254093527794,0.011621268466114998
38000,-25.384166717529297,-25.046812057495117,-25.86574363708496,0.13986705243587494,0.037015289068222046,0.034026920795440674
38500,-24.963594436645508,-25.074132919311523,-25.86574363708496,0.20092833042144775,0.030321255326271057,0.09506860375404358
39000,-24.85883331298828,-24.949277877807617,-25.86574363708496,0.10689826309680939,0.03844604268670082,0.0008761904900893569
39500,-24.941686630249023,-24.972286224365234,-25.86574363708496,0.12404222041368484,0.034006841480731964,0.023646395653486252
40000,-31.068695068359375,-26.10968589782715,-25.86574363708496,0.08879481256008148,0.026618588715791702,0.0005634920671582222
40500,-24.740081787109375,-24.784887313842773,-25.86574363708496,0.11292513459920883,0.025389118120074272,0.02868315950036049
41000,-25.10753059387207,-24.95104217529297,-25.86574363708496,0.08268418908119202,0.024476008489727974,0.0
